title,recipe_link,img_link,ingredients,yield,nutrients,meal_type,subregion,region,total_calories,total_protein,total_fat,total_carb
Mild Curry Powder,https://www.allrecipes.com/recipe/46767/mild-curry-powder/,https://www.allrecipes.com/thmb/fL6E7Yn6kMB2vHeX8rPDt_K6L94=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/89998-c97293c9ac3943f9be20a11483aa8f7c.jpg,"['2 tablespoons ground cumin', '2 tablespoons ground coriander', '2 teaspoons ground turmeric', '0.5 teaspoon crushed red pepper flakes', '0.5 teaspoon mustard seed', '0.5 teaspoon ground ginger']",20 servings,"{'calories': '7 kcal', 'carbohydrateContent': '1 g', 'fiberContent': '1 g', 'proteinContent': '0 g', 'sodiumContent': '1 mg', 'fatContent': '0 g', 'unsaturatedFatContent': '0 g'}",,indian,asian,107.25999999999999,4.530000000000001,5.3500000000000005,16.7
Mildly Sweet Whiskey Chicken,https://www.allrecipes.com/recipe/237372/mildly-sweet-whiskey-chicken/,https://www.allrecipes.com/thmb/eFRa9YhMuY3bwYE0HhD8O-SdgDw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1121507-eb8c45c32aec4f5a8dd0aeb24b40210e.jpg,"['2 pounds chicken thighs', 'salt and ground black pepper to taste', '1.25 cups pineapple juice', '3 tablespoons bourbon whiskey, or more to taste', '2 tablespoons soy sauce', '3 cloves garlic', '1 tablespoon brown sugar', '0.25 teaspoon ground black pepper', '2 teaspoons butter, or to taste', '2 large mushrooms, sliced']",6 servings,"{'calories': '324 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '98 mg', 'fiberContent': '0 g', 'proteinContent': '26 g', 'saturatedFatContent': '5 g', 'sodiumContent': '424 mg', 'sugarContent': '8 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",main,state_ky,usa,2336.3299999999995,218.12000000000003,133.77,59.5
Mile High Green Chili,https://www.allrecipes.com/recipe/218772/mile-high-green-chili/,https://www.allrecipes.com/thmb/33hXUQnlHXigy6kUCbrWnSxwZXw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1045872-351079048a3b4d65bf232420a824b152.jpg,"['4 fresh tomatillos - husked, peeled, and halved', '3 Anaheim chile peppers - seeded and halved', '3 jalapeno peppers - seeded and halved lengthwise', '1 medium onion, halved', '1 green bell pepper, seeded and halved lengthwise', '2 tablespoons olive oil, divided', 'salt and ground black pepper to taste', '1.5 pounds pork shoulder, cut into 1-inch chunks', '0.5 (12 fluid ounce) can or bottle lager-style beer', '2 tomatoes, chopped', '4 cloves garlic, chopped', '2 tablespoons chopped fresh oregano', '1 tablespoon chopped fresh parsley', '1 tablespoon ground cumin', '1 teaspoon chili powder', '1 beef bouillon cube', '4 ounces cream cheese at room temperature']",8 servings,"{'calories': '174 kcal', 'carbohydrateContent': '9 g', 'cholesterolContent': '32 mg', 'fiberContent': '2 g', 'proteinContent': '8 g', 'saturatedFatContent': '5 g', 'sodiumContent': '210 mg', 'sugarContent': '4 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",,state_co,usa,3255.4300000000003,181.83,217.15999999999997,99.86999999999999
Milk Chocolate Pecan Pie,https://www.allrecipes.com/recipe/15460/milk-chocolate-pecan-pie/,https://www.allrecipes.com/thmb/N-xlsi-wNizJYuAjoU1R09yECak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1045830-6f0e490e606143efa827f3f5f4c9e852.jpg,"['1 (9 inch) pie shell', '3 eggs', '1 cup light corn syrup', '0.66666698455811 cup white sugar', '0.33331999182701 cup butter, melted', '1 cup chopped pecans', '0.5 cup milk chocolate chips']",8 servings,"{'calories': '506 kcal', 'carbohydrateContent': '64 g', 'cholesterolContent': '94 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '9 g', 'sodiumContent': '226 mg', 'sugarContent': '35 g', 'fatContent': '28 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,3899.9500000000003,44.379999999999995,193.8,536.85
Milk Tart,https://www.allrecipes.com/recipe/16738/milk-tart/,https://www.allrecipes.com/thmb/io7sCkXhHBobTvSlmvRv8imugBU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2106127-0288bd8cb0ea45888b193bcf696764e0.jpg,"['0.5 cup butter, softened', '1 cup white sugar', '1 egg', '2 cups all-purpose flour', '2 teaspoons baking powder', '1 pinch salt', '4 cups milk', '1 teaspoon vanilla extract', '1 tablespoon butter', '2.5 tablespoons all-purpose flour', '2.5 tablespoons cornstarch', '0.5 cup white sugar', '2 eggs, beaten', '0.5 teaspoon ground cinnamon']",16 servings,"{'calories': '241 kcal', 'carbohydrateContent': '36 g', 'cholesterolContent': '57 mg', 'fiberContent': '1 g', 'proteinContent': '5 g', 'saturatedFatContent': '5 g', 'sodiumContent': '146 mg', 'sugarContent': '22 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",,,african,3778.7200000000003,80.76,129.98000000000002,577.87
Millie Pasquinelli's Fried Chicken,https://www.allrecipes.com/recipe/8970/millie-pasquinellis-fried-chicken/,https://www.allrecipes.com/thmb/4cIMcbMDxZBxhjxLtZHJEAJLxQs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9151962-e12ab01c51c149479103efdc54ed3f3e.jpg,"['3 cups all-purpose flour', '5 tablespoons seasoned salt', '3 tablespoons garlic powder', 'salt and pepper to taste', '4 large eggs, beaten', '2 (2 to 3 pound) whole chickens, cut into pieces', '1 quart vegetable oil for frying']",12 servings,"{'calories': '622 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '204 mg', 'fiberContent': '1 g', 'proteinContent': '41 g', 'saturatedFatContent': '10 g', 'sodiumContent': '1304 mg', 'sugarContent': '1 g', 'fatContent': '38 g', 'unsaturatedFatContent': '0 g'}",main,southern,usa,12715.529999999999,441.59000000000003,1077.96,316.62000000000006
Million-Dollar Spaghetti,https://www.allrecipes.com/recipe/232227/million-dollar-spaghetti/,https://www.allrecipes.com/thmb/L8JRHhrmhZ5Vxc3BIHbEScmhFm4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/232227-million-dollar-spaghetti-3669712555cc481fad2e537ff873ca0b.jpg,"['1 (8 ounce) package spaghetti', '1 pound lean ground beef', '1 (16 ounce) jar spaghetti sauce', '0.5 cup butter, sliced - divided', '1 (8 ounce) container cottage cheese', '1 (8 ounce) package cream cheese, softened', '0.25 cup sour cream', '1 (8 ounce) package shredded sharp Cheddar cheese']",8 servings,"{'calories': '618 kcal', 'carbohydrateContent': '31 g', 'cholesterolContent': '136 mg', 'fiberContent': '2 g', 'proteinContent': '28 g', 'saturatedFatContent': '24 g', 'sodiumContent': '721 mg', 'sugarContent': '6 g', 'fatContent': '42 g', 'unsaturatedFatContent': '0 g'}",main,italian,european,4520.85,244.81,332.22,135.54
Milopita (Greek Apple Upside-Down Cake),https://www.allrecipes.com/recipe/269359/milopita-greek-apple-upside-down-cake/,https://www.allrecipes.com/thmb/aLnB8fuRxwbOTe0JZJeNCFtX8t4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6185705-2411fb21257a4e879ddb2908e28231e9.jpg,"['5 apples, peeled and thinly sliced', '2.5 cups white sugar, divided', '0.25 stick unsalted butter, melted', '0.5 cup brown sugar', '0.25 cup raisins', '1.5 cups olive oil', '1.5 teaspoons ground cinnamon', '5 eggs, separated', '3 cups all-purpose flour', '2 apples, grated', '1 tablespoon baking powder']",8 servings,"{'calories': '950 kcal', 'carbohydrateContent': '129 g', 'cholesterolContent': '110 mg', 'fiberContent': '5 g', 'proteinContent': '9 g', 'saturatedFatContent': '8 g', 'sodiumContent': '228 mg', 'sugarContent': '87 g', 'fatContent': '47 g', 'unsaturatedFatContent': '0 g'}",dessert,greek,european,7866.24,75.16000000000001,376.77,1090.9699999999998
Mimi's Curried Hawaiian Chicken Salad,https://www.allrecipes.com/recipe/89205/mimis-curried-hawaiian-chicken-salad/,https://www.allrecipes.com/thmb/v7Gfwxf9McUZHOpMhEQIbZnl-M8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/965623-e46f7f425807403b9d22d9d4cda152b8.jpg,"['6 boneless, skinless chicken breasts, cubed', '3 cups mayonnaise', '1 tablespoon curry powder', '1 teaspoon lemon juice', '1 tablespoon soy sauce', '2.5 cups slivered almonds, toasted', '1 pound seedless green grapes, halved', '2 cups chopped celery', '1 (8 ounce) can sliced water chestnuts', '1 (20 ounce) can pineapple chunks, thoroughly drained', 'paprika, for garnish']",15 servings,"{'calories': '588 kcal', 'carbohydrateContent': '19 g', 'cholesterolContent': '72 mg', 'fiberContent': '3 g', 'proteinContent': '27 g', 'saturatedFatContent': '6 g', 'sodiumContent': '389 mg', 'sugarContent': '12 g', 'fatContent': '46 g', 'unsaturatedFatContent': '0 g'}",salad,state_ca,usa,8104.07,294.88,651.57,298.39
Mimi's Smoked Salmon Chowder,https://www.allrecipes.com/recipe/140897/mimis-smoked-salmon-chowder/,https://www.allrecipes.com/thmb/ExEm46uJkiEWzFmtEVFeL1QjYl4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/442918-aa11d67307d74912aacfe265e48d7061.jpg,"['2 tablespoons butter', '1 tablespoon olive oil', '1 cup chopped onion', '2 cloves garlic, chopped', '0.5 cup chopped celery', '0.5 cup all-purpose flour', '6 cups chicken broth or vegetable broth', '1 pound potatoes - peeled and cubed', '1 teaspoon dried dill weed', '1 teaspoon dried tarragon', '1 teaspoon dried thyme', '0.5 teaspoon paprika', '8 ounces smoked salmon, cut into 1/2 inch pieces', '0.25 cup white wine', '1 tablespoon fresh lemon juice', '0.25 teaspoon hot sauce', '1 teaspoon salt', '1 teaspoon fresh-ground black pepper', '1 cup half and half']",8 servings,"{'calories': '205 kcal', 'carbohydrateContent': '21 g', 'cholesterolContent': '25 mg', 'fiberContent': '2 g', 'proteinContent': '9 g', 'saturatedFatContent': '5 g', 'sodiumContent': '562 mg', 'sugarContent': '2 g', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}",,state_wa,usa,1804.7,82.21000000000001,77.00999999999999,197.41
Mimi's Southern Sweet Potato Pie,https://www.allrecipes.com/recipe/277869/southern-sweet-potato-pie/,https://www.allrecipes.com/thmb/8LmmjeNvs8yuftLr6xFes4bxlqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4512595-cccd53cb7af54564816c2b607a1a8f6d.jpg,"['2 sweet potatoes, scrubbed', '2 cups white sugar', '8 ounces sweetened condensed milk', '0.5 cup unsalted butter, softened', '2 eggs', '2 teaspoons all-purpose flour', '1 pinch ground cinnamon, or to taste', '1 pinch ground nutmeg, or to taste', '1 pinch ground allspice, or to taste', '1 pinch ground cloves, or to taste', '2 (9 inch) pie crusts']",14 servings,"{'calories': '398 kcal', 'carbohydrateContent': '58 g', 'cholesterolContent': '50 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '7 g', 'sodiumContent': '233 mg', 'sugarContent': '39 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,5276.41,62.86999999999999,216.69000000000003,791.7500000000001
Mincemeat,https://www.allrecipes.com/recipe/260314/mincemeat/,https://www.allrecipes.com/thmb/OWiuG_lMswmY2QzfJ8FJ2nj4mdQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5671394-843cd43997414e5387d23cd4c4a6c2fd.jpg,"['1 teaspoon ground cinnamon', '1 teaspoon ground cloves', '1 teaspoon ground ginger', '1 teaspoon ground nutmeg', '1 teaspoon ground allspice', '1 large green apple, peeled and finely chopped', '1.25 cups sultana raisins', '1.125 cups white sugar', '0.5 cup dried currants', '0.5 cup raisins', '0.5 cup butter', '0.5 cup chopped almonds', '1.5 tablespoons grated orange zest', '0.5 teaspoon ground cinnamon', '1 cup brandy']",24 servings,"{'calories': '156 kcal', 'carbohydrateContent': '22 g', 'cholesterolContent': '10 mg', 'fiberContent': '2 g', 'proteinContent': '1 g', 'saturatedFatContent': '3 g', 'sodiumContent': '33 mg', 'sugarContent': '20 g', 'fatContent': '5 g', 'unsaturatedFatContent': '0 g'}",,uk_ireland,european,3754.08,28.16,127.01,580.86
Minestrone Soup,https://www.allrecipes.com/recipe/14118/minestrone-soup/,https://www.allrecipes.com/thmb/zBc8BzAoz2yyDTj5ChCVAa4-CG8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/449163-a876afc8448041bca9b91c1c61f34013.jpg,"['4 cups vegetable stock', '2 (14.5 ounce) cans stewed tomatoes', '1 large potato, cubed', '1 onion, chopped', '2 stalks celery, chopped', '2 carrots, chopped', '1 large head cabbage, finely chopped', '2 tablespoons Italian seasoning', '1 (15 ounce) can kidney beans', '3 cups fresh corn kernels', '1 large zucchini, sliced', '1 cup uncooked orzo pasta', 'salt and pepper to taste']",9 servings,"{'calories': '399 kcal', 'carbohydrateContent': '81 g', 'fiberContent': '18 g', 'proteinContent': '20 g', 'saturatedFatContent': '0 g', 'sodiumContent': '382 mg', 'sugarContent': '13 g', 'fatContent': '2 g', 'unsaturatedFatContent': '0 g'}",soups_and_stews,italian,european,2435.83,101.22999999999999,18.720000000000002,496.25999999999993
Mini Croissant Crust Pecan Pies,https://www.allrecipes.com/recipe/8303654/mini-croissant-crust-pecan-pies/,https://www.allrecipes.com/thmb/uTnsRW_GEQ0JNPbJSH0ZKVAahbI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_1771-2000-e349f9f3dfab4309914d1df520ce477d.jpg,"['0.25 cup unsalted butter', '1 cup light brown sugar', '1 cup light corn syrup', '2 teaspoons kosher salt', '1 teaspoon pure vanilla extract', '2 tablespoons bourbon whiskey', '4 large eggs', '3 cups pecan halves, coarsely chopped', '2 tablespoons unsalted butter, softened', '6 large croissants']",12 servings,"{'calories': '547 kcal', 'carbohydrateContent': '58 g', 'cholesterolContent': '100 mg', 'fiberContent': '4 g', 'proteinContent': '7 g', 'saturatedFatContent': '10 g', 'sodiumContent': '616 mg', 'fatContent': '34 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,6405.65,87.63000000000001,397.7300000000001,670.25
Mini Key Lime Pies,https://www.allrecipes.com/recipe/219470/mini-key-lime-pies/,https://www.allrecipes.com/thmb/QbTFpuKPPaWDFb2O01edJh2X2ys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3631532-c3c1f4dca87d49a382ec1ce5fef1bf33.jpg,"['12 mini graham cracker crusts', '3 cups sweetened condensed milk', '1 cup sour cream', '1 cup freshly squeezed Key lime juice', '3 tablespoons grated Key lime zest', '2 fresh Key limes, thinly sliced', '1 (7 ounce) can whipped cream topping']",12 servings,"{'calories': '451 kcal', 'carbohydrateContent': '63 g', 'cholesterolContent': '47 mg', 'fiberContent': '1 g', 'proteinContent': '9 g', 'saturatedFatContent': '10 g', 'sodiumContent': '272 mg', 'sugarContent': '50 g', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}",dessert,",state_ca,state_fl",usa,14996.519999999999,198.17000000000004,714.06,1974.8300000000004
Mini Peach Cobbler,https://www.allrecipes.com/recipe/285325/mini-peach-cobbler/,https://www.allrecipes.com/thmb/_HqmL-jT7oZU2IkKmywmXI7illc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9365685-f475001625104445a401edd56db873e4.jpg,"['10 large ripe peaches - peeled, pitted, and chopped', '0.5 cup white sugar', '0.25 cup vanilla extract', '0.25 cup bourbon', '0.25 cup cornstarch', '1 teaspoon cinnamon (such as Supreme Saigon®)', '1 cup all-purpose flour', '0.5 teaspoon baking powder', '0.5 teaspoon salt', '1 cup white sugar', '0.5 cup unsalted butter, at room temperature', '1 large egg', '0.5 teaspoon vanilla extract']",8 servings,"{'calories': '408 kcal', 'carbohydrateContent': '64 g', 'cholesterolContent': '54 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '8 g', 'sodiumContent': '194 mg', 'sugarContent': '49 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,3569.8699999999994,36.29,102.51,601.5100000000001
Mini Peach Hand Pies,https://www.allrecipes.com/recipe/284543/mini-peach-hand-pies/,https://www.allrecipes.com/thmb/vljJdFG8AuNo2IYZ23zDTTZdNxI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9214623-4d61974951a94ac087e95b2adb591b8c.jpg,"['1 (21 ounce) can peach pie filling', '1 teaspoon ground cinnamon', '0.25 cup water', '2 (14.1 ounce) packages refrigerated pie crust', '2 cups powdered sugar, sifted', '0.33333334326744 cup milk, or more as needed']",28 servings,"{'calories': '189 kcal', 'carbohydrateContent': '26 g', 'cholesterolContent': '0 mg', 'fiberContent': '1 g', 'proteinContent': '2 g', 'saturatedFatContent': '2 g', 'sodiumContent': '143 mg', 'sugarContent': '13 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,4079.1800000000003,36.260000000000005,133.27,700.32
Mini Philly Cheesesteaks,https://www.allrecipes.com/recipe/241000/mini-philly-cheesesteaks/,https://www.allrecipes.com/thmb/OSViQaoO3oC0bUeGpL9upBY1YHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2805818-519a47322a704ccd80e1cd55e4e6d165.jpg,"['2 tablespoons butter, or as needed', '2 tablespoons all-purpose flour, or as needed', '1 cup cold milk', '2 ounces shredded provolone cheese, or more to taste', '1 pinch ground nutmeg', '1 pinch cayenne pepper', 'salt to taste', '1 (12 ounce) skirt steak', 'salt and freshly ground black pepper to taste', '3 tablespoons olive oil, divided, or as needed', '0.25 cup water', '0.33333334326744 cup diced onion', '0.33333334326744 cup diced sweet peppers', '2 baguettes, or as needed, cut into 48 1/2-inch thick slices', '0.25 cup shredded provolone cheese, or as needed']",12 servings,"{'calories': '280 kcal', 'carbohydrateContent': '35 g', 'cholesterolContent': '18 mg', 'fiberContent': '2 g', 'proteinContent': '13 g', 'saturatedFatContent': '4 g', 'sodiumContent': '489 mg', 'sugarContent': '3 g', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}",,state_pa,usa,3664.49,187.8,157.38,372.55
Mini Sweet Potato Pies,https://www.allrecipes.com/recipe/76821/mini-sweet-potato-pies/,https://www.allrecipes.com/thmb/Yyr6URGvcIhzxoLGn2HjYt5ELgk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3077834-6ae13ce4feea43058c30a7b3da71ed2c.jpg,"['0.75 pound sweet potato, peeled and diced', '1 (9 inch) refrigerated pie crust', '0.75 cup evaporated skim milk', '2 egg whites', '0.25 cup white sugar', '2 tablespoons brown sugar', '0.75 teaspoon ground cinnamon', '0.125 teaspoon ground nutmeg', '0.125 teaspoon ground cloves', '0.25 cup halved cranberries']",24 servings,"{'calories': '69 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '1 mg', 'fiberContent': '1 g', 'proteinContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '58 mg', 'sugarContent': '5 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,1481.74,30.500000000000004,44.98,243.30999999999997
Mini Sweet Potato Pumpkin Pies,https://www.allrecipes.com/recipe/230037/mini-sweet-potato-pumpkin-pies/,https://www.allrecipes.com/thmb/Rxx98WiiPcFy-zI5xRAjiPv_GxE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/917891-19ff5296afe74dcaa75bba0f273f56ca.jpg,"['1 egg, separated', '1 egg', '6 mini graham cracker pie crusts (such as Keebler®)', '0.5 (16 ounce) can sweet potatoes, drained and mashed', '0.5 (17 ounce) can pumpkin pie filling', '1 cup white sugar', '0.5 cup butter, softened', '0.5 cup milk', '1 teaspoon pumpkin pie spice', '1 teaspoon vanilla extract', '6 tablespoons whipped cream, divided', '6 walnut halves']",6 servings,"{'calories': '518 kcal', 'carbohydrateContent': '69 g', 'cholesterolContent': '107 mg', 'fiberContent': '5 g', 'proteinContent': '5 g', 'saturatedFatContent': '12 g', 'sodiumContent': '398 mg', 'sugarContent': '43 g', 'fatContent': '26 g', 'unsaturatedFatContent': '0 g'}",dessert,southern,usa,7885.9800000000005,83.4,388.53,1029.3000000000002
Mini Sweet Potato Samosas,https://www.allrecipes.com/recipe/135900/mini-sweet-potato-samosas/,https://www.allrecipes.com/thmb/dpdCjxUpZ-gbEYNrMPHhWWiEP94=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/33360-37780837084b4a4c8ebad341c1bf65b0.jpg,"['1 sweet potato, peeled and diced', '1 teaspoon butter', '1 tablespoon milk', '1 tablespoon dry onion soup mix', 'curry powder to taste', '20 wonton wrappers', 'sesame oil for brushing']",4 servings,"{'calories': '169 kcal', 'carbohydrateContent': '31 g', 'cholesterolContent': '7 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '1 g', 'sodiumContent': '332 mg', 'sugarContent': '2 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",appetizer,indian,asian,776.78,19.869999999999997,20.490000000000002,127.35
Minnehaha Cake,https://www.allrecipes.com/recipe/7676/minnehaha-cake/,https://www.allrecipes.com/thmb/w-Xo5nnf_Is5cjEDyUqOPKsbYQc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6176935-c2ab536bfeea44b4b9a55b1fb3e37572.jpg,"['1.5 cups white sugar', '0.5 cup butter', '2 eggs', '1 cup milk', '1 teaspoon vanilla extract', '2.5 cups all-purpose flour', '2 teaspoons baking powder', '1.5 cups packed brown sugar', '2 egg whites', '5 tablespoons water', '0.25 teaspoon salt', '1 teaspoon vanilla extract', '0.5 tablespoon raisins for decorating', '0.125 cup toasted almonds, for decoration', '0.5 cup toasted pecans', '0.25 cup red and green candied cherries']",18 servings,"{'calories': '295 kcal', 'carbohydrateContent': '51 g', 'cholesterolContent': '35 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '4 g', 'sodiumContent': '149 mg', 'sugarContent': '37 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",,state_mn,usa,6075.24,69.93,153.25,1123.37
Minnesota Apple Crisp,https://www.allrecipes.com/recipe/211193/minnesota-apple-crisp/,https://www.allrecipes.com/thmb/WCi9wA2zobXf3IQ3KOOVzloVQFQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/962467-minnesota-apple-crisp-mauigirl-4x3-1-f81eced9a4de4f5cae345e93945a3442.jpg,"['5 cups peeled, cored, and sliced tart apples', '2 teaspoons white sugar', '0.5 teaspoon ground cinnamon', '1.5 cups brown sugar', '0.75 cup all-purpose flour', '0.5 cup butter, softened']",6 servings,"{'calories': '384 kcal', 'carbohydrateContent': '62 g', 'cholesterolContent': '41 mg', 'fiberContent': '3 g', 'proteinContent': '2 g', 'saturatedFatContent': '10 g', 'sodiumContent': '120 mg', 'sugarContent': '46 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",,state_mn,usa,2546.99,13.419999999999998,94.04,423.71
Minnesota Broccoli Salad,https://www.allrecipes.com/recipe/167188/minnesota-broccoli-salad/,https://www.allrecipes.com/thmb/agw1hOv2dL69CjbREq83JBUM5pU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/221780-9073322a672e4372967b42dd0d5f82ad.jpg,"['3 eggs', '1 pound broccoli, chopped', '0.25 cup finely chopped red onion', '1 cup green olives, sliced', '1 (4 ounce) jar diced pimentos, drained', '0.75 cup mayonnaise', '1 teaspoon dry mustard powder', '0.5 pinch salt, or to taste', '0.5 teaspoon celery seed', '1 tablespoon chopped fresh dill']",6 servings,"{'calories': '297 kcal', 'carbohydrateContent': '8 g', 'cholesterolContent': '103 mg', 'fiberContent': '3 g', 'proteinContent': '6 g', 'saturatedFatContent': '4 g', 'sodiumContent': '793 mg', 'sugarContent': '3 g', 'fatContent': '28 g', 'unsaturatedFatContent': '0 g'}",,state_mn,usa,1889.68,36.32,175.83999999999997,55.84
Minnesota Hunter's Chili,https://www.allrecipes.com/recipe/262325/minnesota-hunters-chili/,https://www.allrecipes.com/thmb/c1ER5fCZtPIdiwb_ghn7tGV3IS8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5054740-cc8aceaa573647e09841e82a90d140a0.jpg,"['4 tablespoons bacon fat', '1 large red onion, chopped fine', '2 pounds coarsely ground venison', '1 pound coarsely ground beef', '3 pounds coarsely ground pork', '3 tablespoons chili powder', '1.5 tablespoons cayenne pepper', '1 tablespoon minced garlic', '1.5 teaspoons ground cumin', '3 (8 ounce) cans tomato sauce', '2 cups water', '1 (6 ounce) can tomato paste', '2 tablespoons paprika', '2 tablespoons dried parsley', '1 tablespoon kosher salt', '0.5 teaspoon dried oregano', '0.5 cup masa harina']",16 servings,"{'calories': '332 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '116 mg', 'fiberContent': '3 g', 'proteinContent': '33 g', 'saturatedFatContent': '7 g', 'sodiumContent': '755 mg', 'sugarContent': '4 g', 'fatContent': '18 g', 'servingSize': '4 1/2 quarts', 'unsaturatedFatContent': '0 g'}",,state_mn,usa,8180.91,742.86,500.15,157.98000000000002
Minnesota Pork Chops,https://www.allrecipes.com/recipe/21669/minnesota-pork-chops/,https://www.allrecipes.com/thmb/6CaHUmC8RlVd2EnaKqp4fY2rSko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3286520-fdc1dde6c53b4697b1371af68b3c2252.jpg,"['6 pork chops', 'salt and pepper to taste', '1 cup uncooked wild rice', '1.5 cups water', '1 (8 ounce) can canned mushrooms', '1 tablespoon chicken bouillon granules', '1 (10.75 ounce) can condensed cream of mushroom soup']",4 servings,"{'calories': '352 kcal', 'carbohydrateContent': '29 g', 'cholesterolContent': '56 mg', 'fiberContent': '3 g', 'proteinContent': '27 g', 'saturatedFatContent': '5 g', 'sodiumContent': '791 mg', 'sugarContent': '3 g', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}",,state_mn,usa,2523.84,269.12,122.26,75.47
Minnesota Walleye Cakes,https://www.allrecipes.com/recipe/223230/minnesota-walleye-cakes/,https://www.allrecipes.com/thmb/hcI6BqeEnk2DYnH0ZAbMCCXWinU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9214952-9e3e7b9459c54ec28a7301927f05454d.jpg,"['3 pounds walleye fillets', 'salt and ground black pepper to taste', '0.5 cup dry white wine', '1 carrot, shredded', '1 red onion, diced', '1 stalk celery, diced', '4 cups panko bread crumbs', '2 cups mayonnaise', '1 tablespoon seafood seasoning (such as Old Bay®)', '1 teaspoon salt', '2 tablespoons oil for frying, or as needed', '3 tablespoons lemon juice', '1 tablespoon chopped fresh dill', '1 cup mayonnaise']",12 servings,"{'calories': '624 kcal', 'carbohydrateContent': '29 g', 'cholesterolContent': '65 mg', 'fiberContent': '1 g', 'proteinContent': '26 g', 'saturatedFatContent': '7 g', 'sodiumContent': '869 mg', 'sugarContent': '2 g', 'fatContent': '48 g', 'unsaturatedFatContent': '0 g'}",,state_mn,usa,8244.5,400.80000000000007,567.0699999999999,337.64
